area,theme,topic,learning_objective
Data Management,Georeferencing Systems,Geographic Coordinate Systems,"Distinguish between various latitude definitions (e.g., geocentric, geodetic, astronomic latitudes)"
Data Management,Georeferencing Systems,Geographic Coordinate Systems,Explain the angular measurements represented by latitude and longitude coordinates
Data Management,Georeferencing Systems,Geographic Coordinate Systems,Locate on a globe the positions represented by latitude and longitude coordinates
Data Management,Georeferencing Systems,Geographic Coordinate Systems,Mathematically express the relationship between Cartesian coordinates and polar coordinates
Data Management,Georeferencing Systems,Geographic Coordinate Systems,Use GIS software and base data encoded as geographic coordinates to geocode a list of address-referenced locations
Data Management,Georeferencing Systems,Geographic Coordinate Systems,"Write an algorithm that converts geographic coordinates from decimal degrees (DD) to degrees, minutes, seconds (DMS) format"
Data Management,Georeferencing Systems,Georegistration,Differentiate rectification and orthorectification
Data Management,Georeferencing Systems,Georegistration,Explain the role and selection criteria for “ground control points” (GCPs) in the georegistration of aerial imagery
Data Management,Georeferencing Systems,Georegistration,Identify and explain an equation used to perform image-to-image registration
Data Management,Georeferencing Systems,Georegistration,Identify and explain an equation used to perform image-to-map registration
Data Management,Georeferencing Systems,Georegistration,"Use GIS software to transform a given dataset to a specified coordinate system, projection, and datum"
Data Management,Georeferencing Systems,Horizontal Datums,Define “horizontal datum” in terms of the relationship between a coordinate system and an approximation of the Earth’s surface
Data Management,Georeferencing Systems,Horizontal Datums,Describe the limitations of a Molodenski transformation and in what circumstances a higher parameter transformation such as Helmert may be appropriate
Data Management,Georeferencing Systems,Horizontal Datums,Determine the impact of a datum transformation from NAD 27 to NAD 83 for a given location using a conversion routine maintained by the U.S. National Geodetic Survey
Data Management,Georeferencing Systems,Horizontal Datums,Discuss appropriate applications of the various datum transformation options
Data Management,Georeferencing Systems,Horizontal Datums,Explain the difference between NAD 27 and NAD 83 in terms of ellipsoid parameters
Data Management,Georeferencing Systems,Horizontal Datums,Explain the difference in coordinate specifications for the same position when referenced to NAD 27 and NAD 83
Data Management,Georeferencing Systems,Horizontal Datums,Explain the methodology employed by the U.S. National Geodetic Survey to transform control points from NAD 27 to NAD 83
Data Management,Georeferencing Systems,Horizontal Datums,Explain the rationale for updating NAD 27 to NAD 83
Data Management,Georeferencing Systems,Horizontal Datums,Explain why all GPS data are originally referenced to the WGS 84 datum
Data Management,Georeferencing Systems,Horizontal Datums,Identify which datum transformation options are available and unavailable in a GIS software package
Data Management,Georeferencing Systems,Horizontal Datums,Outline the historical development of horizontal datums
Data Management,Georeferencing Systems,Horizontal Datums,Perform a Molodenski transformation manually
Data Management,Georeferencing Systems,Horizontal Datums,Use GIS software to perform a datum transformation
Data Management,Georeferencing Systems,Linear Referencing,Define linear referencing
Data Management,Georeferencing Systems,Linear Referencing,Describe practical examples of analysis with linear referencing
Data Management,Georeferencing Systems,Linear Referencing,Identify applications of linear referencing
Data Management,Georeferencing Systems,Linear Referencing,Summarize the process of implementing linear referencing
Data Management,Georeferencing Systems,Map Projections,"Compare multiple map projections to explain the difference in distortion patterns, and how the maps would be suited for different analysis or visualization purposes."
Data Management,Georeferencing Systems,Map Projections,"Describe at least one technique for visualizing distortion (e.g.,  Tissot’s indicatrices, or continuous distortion surfaces) and use it to visualize distortion."
Data Management,Georeferencing Systems,Map Projections,Describe the geometric properties of the globe that may be distorted in the map projection process.
Data Management,Georeferencing Systems,Map Projections,Design a thematic map that uses a map projection appropriate to the theme and map purpose.
Data Management,Georeferencing Systems,Map Projections,"Identify and describe the distortion pattern in a specific map projection using a common visualization method (e.g., Tissot’s indicatrices) or distortion surface."
Data Management,Georeferencing Systems,Metadata,Compose data integrity statements for a geostatistical or spatial analysis to be included in graphic output
Data Management,Georeferencing Systems,Metadata,Define “metadata” in the context of the geospatial data set
Data Management,Georeferencing Systems,Metadata,Explain the ways in which metadata increases the value of geospatial data
Data Management,Georeferencing Systems,Metadata,"Explain why metadata production should be integrated into the data production and database development workflows, rather than treated as an ancillary activity"
Data Management,Georeferencing Systems,Metadata,Formulate metadata for a geostatistical analysis that would be released to an experienced audience
Data Management,Georeferencing Systems,Metadata,Formulate metadata for a graphic output that would be distributed to the general public
Data Management,Georeferencing Systems,Metadata,Identify software tools available to support metadata creation
Data Management,Georeferencing Systems,Metadata,Interpret the elements of an existing metadata document
Data Management,Georeferencing Systems,Metadata,Outline the elements of the U.S. geospatial metadata standard
Data Management,Georeferencing Systems,Metadata,Use a metadata utility to create a geospatial metadata document for a digital database you created
Data Management,Georeferencing Systems,Ontology for Geospatial Semantic Interoperability,"Define and describe the concepts of ontology, ontological languages, and ontological queries"
Data Management,Georeferencing Systems,Ontology for Geospatial Semantic Interoperability,Explain the concepts of geospatial semantic interoperability
Data Management,Georeferencing Systems,Ontology for Geospatial Semantic Interoperability,Introduce issues for geospatial semantic interoperability and challenges for geospatial semantic interoperability using ontologies
Data Management,Georeferencing Systems,Ontology for Geospatial Semantic Interoperability,Present the challenges of building ontologies
Data Management,Georeferencing Systems,Planar Coordinate Systems,Associate SPC coordinates and zone specifications with corresponding positions on a U.S. map or globe
Data Management,Georeferencing Systems,Planar Coordinate Systems,Associate UTM coordinates and zone specifications with corresponding position on a world map or globe
Data Management,Georeferencing Systems,Planar Coordinate Systems,Critique the U.S. Geological Survey’s choice of UTM as the standard coordinate system for the U.S. National Map
Data Management,Georeferencing Systems,Planar Coordinate Systems,Describe the characteristics of the “national grids” of countries other than the U.S.
Data Management,Georeferencing Systems,Planar Coordinate Systems,Differentiate the characteristics and uses of the UTM coordinate system from the Military Grid Reference System (MGRS) and the World Geographic Reference System (GEOREF)
Data Management,Georeferencing Systems,Planar Coordinate Systems,Discuss the magnitude and cause of error associated with SPC coordinates
Data Management,Georeferencing Systems,Planar Coordinate Systems,Discuss the magnitude and cause of error associated with UTM coordinates
Data Management,Georeferencing Systems,Planar Coordinate Systems,Explain what State Plane Coordinates system (SPC) eastings and northings represent
Data Management,Georeferencing Systems,Planar Coordinate Systems,Explain what Universal Transverse Mercator (UTM) eastings and northings represent
Data Management,Georeferencing Systems,Planar Coordinate Systems,Explain why plane coordinates are sometimes preferable to geographic coordinates
Data Management,Georeferencing Systems,Planar Coordinate Systems,"Identify the map projection(s) upon which SPC coordinate systems are based, and explain the relationship between the projection(s) and the coordinate system grids"
Data Management,Georeferencing Systems,Planar Coordinate Systems,"Identify the map projection(s) upon which UTM coordinate systems are based, and explain the relationship between the projection(s) and the coordinate system grid"
Data Management,Georeferencing Systems,Planar Coordinate Systems,Recommend the most appropriate plane coordinate system for applications at different spatial extents and justify the recommendation
Data Management,Georeferencing Systems,Spatial Data Infrastructures,"Define metadata, and describe the types of information that may be included in metadata."
Data Management,Georeferencing Systems,Spatial Data Infrastructures,Define spatial data infrastructure.
Data Management,Georeferencing Systems,Spatial Data Infrastructures,Describe the main functions of geoportals.
Data Management,Georeferencing Systems,Spatial Data Infrastructures,Describe the major components of a typical SDI.
Data Management,Georeferencing Systems,Spatial Data Infrastructures,Describe the role of standards in ensuring the quality of metadata.
Data Management,Georeferencing Systems,Spatial Data Infrastructures,Differentiate text-based search and map-based search.
Data Management,Georeferencing Systems,Spatial Data Infrastructures,List some of the widely-recognized SDIs.
Data Management,Georeferencing Systems,Tesselated Referencing Systems,Describe the octahedral quarternary triangulated mesh georeferencing system proposed by Dutton
Data Management,Georeferencing Systems,Tesselated Referencing Systems,Discuss the advantages of hierarchical coordinates relative to geographic and plane coordinate systems
Data Management,Georeferencing Systems,Tesselated Referencing Systems,Explain the concept “quadtree”
Data Management,Georeferencing Systems,U.S,
Data Management,Georeferencing Systems,Vertical Datums,Differentiate between NAVD 29 and NAVD 88
Data Management,Georeferencing Systems,Vertical Datums,Explain how a vertical datum is established
Data Management,Georeferencing Systems,Vertical Datums,Illustrate the difference between a vertical datum and a geoid
Data Management,Georeferencing Systems,Vertical Datums,"Illustrate the relationship among the concepts ellipsoidal (or geodetic) height, geoidal height, and orthometric elevation"
Data Management,Georeferencing Systems,Vertical Datums,Outline the historical development of vertical datums
Data Management,Query Processing,Complex Queries,
Data Management,Query Processing,Optimal I/O Algorithms,
Data Management,Query Processing,Spatial Joins,
Data Management,Representations of Spatial Objects,Fields in Space and Time,"Define a field in terms of properties, space, and time"
Data Management,Representations of Spatial Objects,Fields in Space and Time,"Differentiate various sources of fields, such as substance properties (e.g., temperature), artificial constructs (e.g., population density), and fields of potential or influence (e.g., gravity)"
Data Management,Representations of Spatial Objects,Fields in Space and Time,Evaluate the field view’s description of “objects” as conceptual discretizations of continuous patterns
Data Management,Representations of Spatial Objects,Fields in Space and Time,Formalize the notion of field using mathematical functions and calculus
Data Management,Representations of Spatial Objects,Fields in Space and Time,Identify applications and phenomena that are not adequately modeled by the field view
Data Management,Representations of Spatial Objects,Fields in Space and Time,"Identify examples of discrete and continuous change found in spatial, temporal, and spatio-temporal fields"
Data Management,Representations of Spatial Objects,Fields in Space and Time,Recognize the influences of scale on the perception and meaning of fields
Data Management,Representations of Spatial Objects,Fields in Space and Time,Relate the notion of field in GIS to the mathematical notions of scalar and vector fields
Data Management,Representations of Spatial Objects,Fuzzy Models,
Data Management,Representations of Spatial Objects,"Genealogical Relationships, Linkage, and Inheritance",Describe the genealogy (as identity-based change or temporal relationships) of particular geographic phenomena
Data Management,Representations of Spatial Objects,"Genealogical Relationships, Linkage, and Inheritance",Describe ways in which a geographic entity can be created from one or more others
Data Management,Representations of Spatial Objects,"Genealogical Relationships, Linkage, and Inheritance",Determine whether it is important to represent the genealogy of entities for a particular application
Data Management,Representations of Spatial Objects,"Genealogical Relationships, Linkage, and Inheritance",Discuss the effects of temporal scale on the modeling of genealogical structures
Data Management,Representations of Spatial Objects,Geospatial Data Conflation,"Compare conflation with spatial join, image fusion and other related operations for data integration."
Data Management,Representations of Spatial Objects,Geospatial Data Conflation,Define the concept of conflation and what kind of context it is used.
Data Management,Representations of Spatial Objects,Geospatial Data Conflation,Describe the basic types of conflation problems.
Data Management,Representations of Spatial Objects,Geospatial Data Conflation,Explain the difference between manual and automatic conflation.
Data Management,Representations of Spatial Objects,Geospatial Data Conflation,Implement basic conflation operator using buffer analysis and overlay operation.
Data Management,Representations of Spatial Objects,Geospatial Data Conflation,Understand the cardinality of match relation.
Data Management,Representations of Spatial Objects,Geospatial Data Conflation,Understand the different criteria used for conflating geospatial features.
Data Management,Representations of Spatial Objects,Modeling 3D Entities,Differentiate between 21/2-D representations and true 3-D models
Data Management,Representations of Spatial Objects,Modeling 3D Entities,Explain how 3-D models can be extended to additional dimensions
Data Management,Representations of Spatial Objects,Modeling 3D Entities,Explain how octatrees are the 3-D extension of quadtrees
Data Management,Representations of Spatial Objects,Modeling 3D Entities,Explain how voxels and stack-unit maps that show the topography of a series of geologic layers might be considered 3-D extensions of field and vector representations respectively
Data Management,Representations of Spatial Objects,Modeling 3D Entities,Explain the difficulties in creating true 3-D objects in a vector or raster format
Data Management,Representations of Spatial Objects,Modeling 3D Entities,Explain the use of multi-patching to represent 3-D objects
Data Management,Representations of Spatial Objects,Modeling 3D Entities,Identify GIS application domains in which true 3-D models of natural phenomena are necessary
Data Management,Representations of Spatial Objects,Modeling 3D Entities,Illustrate the use of Virtual Reality Modeling Language (VRML) to model landscapes in 3-D
Data Management,Representations of Spatial Objects,Network Models,Create an adjacency table from a sample network
Data Management,Representations of Spatial Objects,Network Models,Create an incidence matrix from a sample network
Data Management,Representations of Spatial Objects,Network Models,"Define the following terms pertaining to a network: Loops, multiple edges, the degree of a vertex, walk, trail, path, cycle, fundamental cycle"
Data Management,Representations of Spatial Objects,Network Models,Demonstrate how a network is a connected set of edges and vertices
Data Management,Representations of Spatial Objects,Network Models,"Demonstrate how attributes of networks can be used to represent cost, time, distance, or many other measures"
Data Management,Representations of Spatial Objects,Network Models,"Demonstrate how the star (or forward star) data structure, which is often employed when digitally storing network information, violates relational normal form, but allows for much faster search and retrieval in network databases"
Data Management,Representations of Spatial Objects,Network Models,Discuss some of the difficulties of applying the standard process-pattern concept to lines and networks
Data Management,Representations of Spatial Objects,Network Models,Explain how a graph (network) may be directed or undirected
Data Management,Representations of Spatial Objects,Network Models,Explain how a graph can be written as an adjacency matrix and how this can be used to calculate topological shortest paths in the graph
Data Management,Representations of Spatial Objects,Network Models,List definitions of networks that apply to specific applications or industries
Data Management,Representations of Spatial Objects,Raster Data Models,Describe the advantages and disadvantages of the raster data model compared to other GIS data models.
Data Management,Representations of Spatial Objects,Raster Data Models,Explain the mixed pixel problem and approaches to attenuate it.
Data Management,Representations of Spatial Objects,Raster Data Models,Learn the key components of the raster data model.
Data Management,Representations of Spatial Objects,Raster Data Models,Understand the common types of raster file formats.
Data Management,Representations of Spatial Objects,Spaghetti Models,Describe how geometric primitives are implemented in the spaghetti model as independent objects without topology
Data Management,Representations of Spatial Objects,Spaghetti Models,Explain how the spaghetti data model embodies an object-based view of the world
Data Management,Representations of Spatial Objects,Spaghetti Models,Explain the conditions under which the spaghetti model is useful
Data Management,Representations of Spatial Objects,Spaghetti Models,"Identify a widely-used example of the spaghetti model (e.g., AutoCAD DWF, ESRI shapefile)"
Data Management,Representations of Spatial Objects,Spaghetti Models,Write a program to read and write a vector data file using a common published format
Data Management,Representations of Spatial Objects,Standardization & Exchange Specifications,
Data Management,Representations of Spatial Objects,Topological Models,"Define terms related to topology (e.g., adjacency, connectivity, overlap, intersect, logical consistency)"
Data Management,Representations of Spatial Objects,Topological Models,Demonstrate how a topological structure can be represented in a relational database structure
Data Management,Representations of Spatial Objects,Topological Models,"Describe the integrity constraints of integrated topological models (e.g., POLYVRT)"
Data Management,Representations of Spatial Objects,Topological Models,Discuss the historical roots of the Census Bureau’s creation of GBF/DIME as the foundation for the development of topological data structures
Data Management,Representations of Spatial Objects,Topological Models,Discuss the role of graph theory in topological structures
Data Management,Representations of Spatial Objects,Topological Models,Evaluate the positive and negative impacts of the shift from integrated topological models
Data Management,Representations of Spatial Objects,Topological Models,"Exemplify the concept of planar enforcement (e.g., TIN triangles)"
Data Management,Representations of Spatial Objects,Topological Models,Explain the advantages and disadvantages of topological data models
Data Management,Representations of Spatial Objects,Topological Models,Explain why integrated topological models have lost favor in commercial GIS software
Data Management,Representations of Spatial Objects,Topological Models,Illustrate a topological relation
Data Management,Representations of Spatial Objects,Triangulated Irregular Network Models,Construct a TIN manually from a set of spot elevations
Data Management,Representations of Spatial Objects,Triangulated Irregular Network Models,Delineate a set of break lines that improve the accuracy of a TIN
Data Management,Representations of Spatial Objects,Triangulated Irregular Network Models,"Demonstrate the use of the TIN model for different statistical surfaces (e.g., terrain elevation, population density, disease incidence) in a GIS software application"
Data Management,Representations of Spatial Objects,Triangulated Irregular Network Models,Describe how to generate a unique TIN solution using Delaunay triangulation
Data Management,Representations of Spatial Objects,Triangulated Irregular Network Models,Describe the architecture of the TIN model
Data Management,Representations of Spatial Objects,Triangulated Irregular Network Models,Describe the conditions under which a TIN might be more practical than GRID
Data Management,Representations of Spatial Objects,Vector Data Models,Describe a Freeman-Huffman chain code
Data Management,Representations of Spatial Objects,Vector Data Models,"Describe the relationship between the GBF/DIME and TIGER structures, the rationale for their design, and their intended primary uses, paying particular attention to the role of graph theory in establishing the difference between GBF/DIME and TIGER files"
Data Management,Representations of Spatial Objects,Vector Data Models,Describe the relationship of Freeman-Huffman chain codes to the raster model
Data Management,Representations of Spatial Objects,Vector Data Models,Discuss the advantages and disadvantages of POLYVRT
Data Management,Representations of Spatial Objects,Vector Data Models,"Discuss the impact of early prototype data models (e.g., POLYVRT and GBF/DIME) on contemporary vector formats"
Data Management,Representations of Spatial Objects,Vector Data Models,Explain what makes POLYVRT a hierarchical vector data model
Data Management,Representations of Spatial Objects,Vector Data Models,Illustrate the GBF/DIME data model
Data Management,Spatial Access Methods,Data-driven structures: R-trees and cost models,
Data Management,Spatial Access Methods,Modeling Semi-Structured Spatial Data,
Data Management,Spatial Access Methods,Modeling Unstructured Spatial Data,
Data Management,Spatial Access Methods,"Space-driven Structures: Grid, linear quadtree, and z-ordering tree files",
Data Management,Spatial Access Methods,Spatial Indexing,Compare and discuss the relative performance of different spatial indices.
Data Management,Spatial Access Methods,Spatial Indexing,Define the concept of a spatial index and what kind of spatial operations it is related to.
Data Management,Spatial Access Methods,Spatial Indexing,Demonstrate how different data structures works for spatial queries and spatial join.
Data Management,Spatial Access Methods,Spatial Indexing,Describe the basic category of spatial index and name some common data structures of spatial databases.
Data Management,Spatial Access Methods,Spatial Indexing,Implement point query or window query algorithms that retrieve geospatial data using basic index structures
Data Management,Spatial Access Methods,Spatial Indexing,Understand how to build spatial indexes in both commercial and open-source databases and be aware of what the strategies they use.
Data Management,Spatial Data Quality,Error-based Uncertainty,"Define uncertainty-related terms, such as error, accuracy, uncertainty, precision, stochastic, probabilistic, deterministic, and random"
Data Management,Spatial Data Quality,Error-based Uncertainty,Describe a stochastic error model for a natural phenomenon
Data Management,Spatial Data Quality,Error-based Uncertainty,Differentiate uncertainty in geospatial situations from vagueness
Data Management,Spatial Data Quality,Error-based Uncertainty,Evaluate the causes of uncertainty in geospatial data
Data Management,Spatial Data Quality,Error-based Uncertainty,Explain how the familiar concepts of geographic objects and fields affect the conceptualization of uncertainty
Data Management,Spatial Data Quality,Error-based Uncertainty,Recognize expressions of uncertainty in language
Data Management,Spatial Data Quality,Error-based Uncertainty,Recognize the degree to which the importance of uncertainty depends on scale and application
Data Management,Spatial Data Quality,Mathematical Models of Vagueness: Fuzzy and Rough sets,"Compare and contrast the relative merits of fuzzy sets, rough sets, and other models"
Data Management,Spatial Data Quality,Mathematical Models of Vagueness: Fuzzy and Rough sets,Create appropriate membership functions to model vague phenomena
Data Management,Spatial Data Quality,Mathematical Models of Vagueness: Fuzzy and Rough sets,Differentiate between fuzzy set membership and probabilistic set membership
Data Management,Spatial Data Quality,Mathematical Models of Vagueness: Fuzzy and Rough sets,Explain the problems inherent in fuzzy sets
Data Management,Spatial Data Quality,Modeling Uncertainty,
Data Management,Spatial Data Quality,Spatial Data Uncertainty,"Define spatial data uncertainty, quality, accuracy, error, and geo-semantic uncertainty."
Data Management,Spatial Data Quality,Spatial Data Uncertainty,Describe major methods to evaluate geo-semantic uncertainty.
Data Management,Spatial Data Quality,Spatial Data Uncertainty,Describe major methods to evaluate positional and attribute uncertainty.
Data Management,Spatial Data Quality,Spatial Data Uncertainty,Discuss possible methods to evaluate uncertainty of crowd-sourced geographic data.
Data Management,Spatial Data Quality,Spatial Data Uncertainty,Explain the importance of spatial data uncertainty.
Data Management,Spatial Data Quality,Vagueness,"Compare and contrast the meanings of related terms such as vague, fuzzy, imprecise, indefinite, indiscrete, unclear, and ambiguous"
Data Management,Spatial Data Quality,Vagueness,Describe the cognitive processes that tend to create vagueness
Data Management,Spatial Data Quality,Vagueness,Differentiate applications in which vagueness is an acceptable trait from those in which it is unacceptable
Data Management,Spatial Data Quality,Vagueness,"Differentiate between the following concepts: vagueness and ambiguity, well defined and poorly defined objects and fields, and discord and non-specificity"
Data Management,Spatial Data Quality,Vagueness,"Evaluate the role that system complexity, dynamic processes, and subjectivity play in the creation of vague phenomena and concepts"
Data Management,Spatial Data Quality,Vagueness,"Evaluate vagueness in the locations, time, attributes, and other aspects of geographic phenomena"
Data Management,Spatial Data Quality,Vagueness,Identify the hedges used in language to convey vagueness
Data Management,Spatial Data Quality,Vagueness,Recognize the degree to which vagueness depends on scale
Data Management,Spatial Databases,Conceptual Data Models,"Characterize the entity, attribute, and relationship components of a conceptual data model."
Data Management,Spatial Databases,Conceptual Data Models,Define conceptual data model.
Data Management,Spatial Databases,Conceptual Data Models,Describe the purpose of a conceptual data model.
Data Management,Spatial Databases,Conceptual Data Models,Describe the relationship between an application-centric conceptual data model and a enterprise-wide conceptual data model.
Data Management,Spatial Databases,Conceptual Data Models,Develop (Sketch) a conceptual data model using an entity-relationship diagram.
Data Management,Spatial Databases,Conceptual Data Models,Discuss how a conceptual data model characterizes information requirements for an application.
Data Management,Spatial Databases,Conceptual Data Models,Distinguish between use cases and conceptual data models; describe how they can work together.
Data Management,Spatial Databases,Database Administration,"Describe effective methods to get stakeholders to create, adopt, or develop and maintain metadata for shared datasets"
Data Management,Spatial Databases,Database Administration,Describe how using standards can affect implementation of a GIS
Data Management,Spatial Databases,Database Administration,Explain how validation and verification processes can be used to maintain database integrity
Data Management,Spatial Databases,Database Administration,Summarize how data access processes can be a factor in development of an enterprise GIS implementation
Data Management,Spatial Databases,Extensions of the Relational DBMS,"Describe extensions of the relational model designed to represent geospatial and other semistructured data, such as stored procedures, Binary Large Objects (BLOBs), nested tables, abstract data types, and spatial data types"
Data Management,Spatial Databases,Extensions of the Relational DBMS,"Describe standards efforts relating to relational extensions, such as SQL:1999 and SQL-MM"
Data Management,Spatial Databases,Extensions of the Relational DBMS,Evaluate the adequacy of contemporary proprietary database schemes to manage geospatial data
Data Management,Spatial Databases,Extensions of the Relational DBMS,Evaluate the degree to which an available object-relational database management system approximates a true object-oriented paradigm
Data Management,Spatial Databases,Extensions of the Relational DBMS,Explain why early attempts to store geographic data in standard relational tables failed
Data Management,Spatial Databases,Logical Data Models,Define logical data model.
Data Management,Spatial Databases,Logical Data Models,Describe how activity diagrams can supplement logical data models to further characterize logical data organization in a logical data model.
Data Management,Spatial Databases,Logical Data Models,"Describe how an application-centric logical data model differs from an enterprise-wide logical data model, and how logical data schema integration can support development of an enterprise-wide data model."
Data Management,Spatial Databases,Logical Data Models,Describe the purpose of a logical data model.
Data Management,Spatial Databases,Logical Data Models,Develop the basics of a logical data model diagram.
Data Management,Spatial Databases,Logical Data Models,Differentiate between a data warehouse and a federated database in support of applications for an enterprise-wide database environment.
Data Management,Spatial Databases,Logical Data Models,Differentiate logical data model approaches.
Data Management,Spatial Databases,NoSQL Databases,Compare and contrast the major differences between NoSQL and relational databases.
Data Management,Spatial Databases,NoSQL Databases,Describe the four types of store models NoSQL databases.
Data Management,Spatial Databases,NoSQL Databases,"Explain the advantages in using NoSQL database to store spatial data, especially big spatial data."
Data Management,Spatial Databases,NoSQL Databases,Explain the meaning behind the name NoSQL database.
Data Management,Spatial Databases,Object-Oriented DBMSs,Defend or refute the notion that the Extensible Markup Language (XML) is a form of object-oriented database
Data Management,Spatial Databases,Object-Oriented DBMSs,"Describe the basic elements of the object-oriented paradigm, such as inheritance, encapsulation, methods, and composition"
Data Management,Spatial Databases,Object-Oriented DBMSs,Differentiate between object-oriented programming and object-oriented databases
Data Management,Spatial Databases,Object-Oriented DBMSs,"Evaluate the advantages and disadvantages of object-oriented databases compared to relational databases, focusing on representational power, data entry, storage efficiency, and query performance"
Data Management,Spatial Databases,Object-Oriented DBMSs,Evaluate the degree to which the object-oriented paradigm does or does not approximate cognitive structures
Data Management,Spatial Databases,Object-Oriented DBMSs,Explain how the principle of inheritance can be implemented using an object-oriented programming approach
Data Management,Spatial Databases,Object-Oriented DBMSs,Explain how the properties of object orientation allows for combining and generalizing objects
Data Management,Spatial Databases,Object-Oriented DBMSs,"Implement a GIS database design in an off-the-shelf, object-oriented database"
Data Management,Spatial Databases,Physical Data Models,Characterize data types and indexing for physical data models.
Data Management,Spatial Databases,Physical Data Models,Define physical data model.
Data Management,Spatial Databases,Physical Data Models,Describe how a physical data model differs from a logical data model in terms of software implementation.
Data Management,Spatial Databases,Physical Data Models,Describe the purpose of a physical data model.
Data Management,Spatial Databases,Physical Data Models,Develop a physical data model diagram.
Data Management,Spatial Databases,Physical Data Models,Differentiate physical data models based on their logical data model approaches.
Data Management,Spatial Databases,Physical Data Models,List some of the most popular DBMS software that can be used for geospatial implementation.
Data Management,Spatial Databases,Problems with Large Spatial Databases,"Describe difficulties in dealing with large spatial databases, especially those arising from spatial heterogeneity. Describe some of the problems of large spatial datasets from social media."
Data Management,Spatial Databases,Problems with Large Spatial Databases,Describe emerging geocomputation techniques for geospatial big data.
Data Management,Spatial Databases,Problems with Large Spatial Databases,Describe the basic types of geospatial big data.
Data Management,Spatial Databases,Problems with Large Spatial Databases,Describe the statistical limitations of large spatial databases.
Data Management,Spatial Databases,Problems with Large Spatial Databases,Explain how to recognize contaminated data in large datasets.
Data Management,Spatial Databases,Problems with Large Spatial Databases,Identify and explain primary methods for structuring and modeling geospatial big data.
Data Management,Spatial Databases,Spatial Database Management Systems,
Data Management,Spatial Databases,Topological Relationships,"Define various terms used to describe topological relationships, such as disjoint, overlap, within, and intersect"
Data Management,Spatial Databases,Topological Relationships,Describe geographic phenomena in terms of their topological relationships in space and time to other phenomena
Data Management,Spatial Databases,Topological Relationships,"List the possible topological relationships between entities in space (e.g., 9-intersection) and time"
Data Management,Spatial Databases,Topological Relationships,Recognize the contributions of topology (the branch of mathematics) to the study of geographic relationships
Data Management,Spatial Databases,Topological Relationships,Use methods that analyze topological relationships
Data Management,Spatial Databases,Use of Relational DBMSs,Create an SQL query that extracts data from related tables
Data Management,Spatial Databases,Use of Relational DBMSs,"Define the basic terms used in relational database management systems (e.g., tuple, relation, foreign key, SQL, relational join)"
Data Management,Spatial Databases,Use of Relational DBMSs,Demonstrate how search and relational join operations provide results for a typical GIS query and other simple operations using the relational DBMS within a GIS software application
Data Management,Spatial Databases,Use of Relational DBMSs,Describe the entity-relationship diagram approach to data modeling
Data Management,Spatial Databases,Use of Relational DBMSs,"Describe the problems associated with failure to follow the first and second normal forms (including data confusion, redundancy, and retrieval difficulties)"
Data Management,Spatial Databases,Use of Relational DBMSs,Discuss the efficiency and costs of normalization
Data Management,Spatial Databases,Use of Relational DBMSs,Explain how entity-relationship diagrams are translated into relational tables
Data Management,Spatial Databases,Use of Relational DBMSs,Explain the advantage of the relational model over earlier database structures including spreadsheets
Domain Applications,Agriculture,Agriculture,"Differentiate the uses of GIS&T in agriculture a smallholder/developing world setting, versus large-scale agriculture in high income countries."
Domain Applications,Agriculture,Agriculture,Discuss the role that “knowledge brokers” have in facilitating the use of GIS&T in agriculture.
Domain Applications,Agriculture,Agriculture,Identify three sources of uncertainty in GIS&T data for agriculture and how these sources of uncertainty might interact with uncertainty widely present in agricultural systems.
Domain Applications,Agriculture,Agriculture,Map an information chain from data collection to service delivery for GIS&T in agriculture.
Domain Applications,Agriculture,Agriculture,Propose a sustainable business model built around a geoinformation application or service oriented to supporting either large scale or smallholder agriculture.
Domain Applications,Archaeology,Archaeology,Describe the advantages and limitations of the different GIS&T tools.
Domain Applications,Archaeology,Archaeology,Describe the three primary applications of GIS&T for archaeology
Domain Applications,Archaeology,Archaeology,Explain how environmental factors influence remote sensing tools.
Domain Applications,Archaeology,Archaeology,Identify and describe GIS&T tools commonly used in archaeological research
Domain Applications,Architecture,Architecture,
Domain Applications,Civil Engineering,Civil Engineering,Explain and describe the common areas of research at the intersection of GIS&T and Civil Engineering.
Domain Applications,Civil Engineering,Civil Engineering,Explain the use of GIS&T in the common sub-disciplines of the Civil Engineering profession.
Domain Applications,Commercial Business,Commercial Business,
Domain Applications,Conservation,Conservation,
Domain Applications,Criminal Justice / Law Enforcement,Criminal Justice / Law Enforcement,
Domain Applications,Digital Humanities,Digital Humanities,
Domain Applications,Earth Science Research,Earth Science Research,
Domain Applications,Economic Development,Economic Development,
Domain Applications,Ecosystem Science & Management,Ecosystem Science & Management,
Domain Applications,Education,Education,Compare and contrast the “first” and “second” phases of GIS&T education.
Domain Applications,Education,Education,"Describe the curricular, research, and administrative roles that GIS plays in higher education."
Domain Applications,Education,Education,"Explain how GIS educational has mirrored advances in computing and digital technologies, and the role of the Internet."
Domain Applications,Education,Education,Summarize the origins of GIS&T education in formal learning environments.
Domain Applications,Emergency Response,Emergency Response,
Domain Applications,Energy Development,Energy Development,
Domain Applications,Environmental Science & Management,Environmental Science & Management,
Domain Applications,Epidemiology,Epidemiology,Compare and contrast the features of descriptive vs. analytic epidemiologic studies.
