Competency,Topic,Sub-topic,Level,learning_objective
GEOSPATIAL DATA MANAGEMENT,T34. Data Selection and Validation,8. Calculate relative error and relative uncertainty,Foundational (F),Summarize how relative error and relative uncertainty are calculated.
GEOSPATIAL DATA MANAGEMENT,T34. Data Selection and Validation,9. Define random errors,Foundational (F),Define random error and systematic error and summarize the relationship between the two.
GEOSPATIAL DATA MANAGEMENT,T34. Data Selection and Validation,10. Define systemic errors,Foundational (F),
GEOSPATIAL DATA MANAGEMENT,T34. Data Selection and Validation,11. List common causes of error,Foundational (F),List common causes of random error and systematic error.
GEOSPATIAL DATA MANAGEMENT,T34. Data Selection and Validation,12. List and define the means for the propagation of error,Foundational (F),List and define the means for the propagation of error.
GEOSPATIAL DATA MANAGEMENT,T34. Data Selection and Validation,13. Define correlated and independent measures,Foundational (F),Define correlated and independent measures.
GEOSPATIAL DATA MANAGEMENT,T34. Data Selection and Validation,"14. Identify normal, binomial, and discrete rare event distributions",Foundational (F),"Identify normal, binomial, and discrete rare event distributions."
GEOSPATIAL DATA MANAGEMENT,T34. Data Selection and Validation,15. Define confidence interval and percent confidence,Foundational (F),Define confidence interval and percent confidence.
GEOSPATIAL DATA MANAGEMENT,T34. Data Selection and Validation,16. List and describe the potential for error associated with various qualitative sampling methods,Foundational (F),List and summarize the potential for error associated with various qualitative sampling methods.
GEOSPATIAL DATA MANAGEMENT,T34. Data Selection and Validation,17. Compare and contrast the characteristics of structured vs non-structured data,Foundational (F),Compare/contrast the characteristics of structured and non-structured data.
GEOSPATIAL DATA MANAGEMENT,T34. Data Selection and Validation,18. Describe the fundamental risks associated with crowd-sourced data and suggest methods which may be used to overcome risk,Foundational (F),Characterize the fundamental risks associated with crowd-sourced data.
GEOSPATIAL DATA MANAGEMENT,T34. Data Selection and Validation,18. Describe the fundamental risks associated with crowd-sourced data and suggest methods which may be used to overcome risk,Foundational (F),Determine methods overcome risks associated with crowd-sourced data.
GEOSPATIAL DATA MANAGEMENT,T34. Data Selection and Validation,19. Define the role of metadata as it relates to geodata,Foundational (F),Compare/contrast the types of information that may be included in metadata and summarize how it relates to geodata.
GEOSPATIAL DATA MANAGEMENT,T34. Data Selection and Validation,"20. List at least 5 critical components required in metadata (Author, generation date, attribute descriptions, attribute units of measure, projection and coordinate system, collection scale or resolution, source method, horizontal/vertical accuracy, modification dates)",Foundational (F),"Categorize the metadata components (e.g., Author, generation date, attribution descriptions, etc.) according to their level of importance (e.g., critical, important, etc.) of maintaining geospatial data."
GEOSPATIAL DATA MANAGEMENT,T34. Data Selection and Validation,21. Identify the correct primary data standards organization governing civilian US Federal data standards.,Foundational (F),"Organize data standards organizations according to whether they govern civilian, United States Federal, United States military, or international geospatial data standards."
GEOSPATIAL DATA MANAGEMENT,T34. Data Selection and Validation,Identify the correct primary data standards organization governing US military data standards.,Foundational (F),
GEOSPATIAL DATA MANAGEMENT,T34. Data Selection and Validation,22. Identify the two international standards organizations for geospatial data,Foundational (F),Compare/contrast the United Nations committee for Global Spatial Data Infrastructure (GSDI) and the Open Geospatial Consortium (OGC) specifications for geospatial data.
GEOSPATIAL DATA MANAGEMENT,T34. Data Selection and Validation,23. Identify the primary US standards organization for units of measure,Foundational (F),Compare/contrast Imperial units of measurement and System International (SI) units of measurement.
GEOSPATIAL DATA MANAGEMENT,T34. Data Selection and Validation,24. Identify the primary international standards organization for units of measure,Foundational (F),
GEOSPATIAL DATA MANAGEMENT,T34. Data Selection and Validation,25. Identify the primary international organization for printed page size,Foundational (F),Characterize international standards organizations requirement for printed page size.
GEOSPATIAL DATA MANAGEMENT,T34. Data Selection and Validation,26. Define the standard page/paper sizes,Foundational (F),"Compare the following page sizes: ISO series A, B, and C and ANSI A-E"
GEOSPATIAL DATA MANAGEMENT,T34. Data Selection and Validation,"27. Describe data and position ""spoofing""",Foundational (F),Contrast data “spoofing” and position “spoofing.”
GEOSPATIAL DATA MANAGEMENT,T34. Data Selection and Validation,28. Determine requirements for precision and accuracy,Foundational (F),Determine requirements for precision and accuracy.
GEOSPATIAL DATA MANAGEMENT,T34. Data Selection and Validation,29. List and describe the steps used for an error analysis,Foundational (F),Verify that the steps necessary to conduct an error analysis have been performed correctly.
GEOSPATIAL DATA MANAGEMENT,T34. Data Selection and Validation,30. Conduct methods appropriate error analysis for quantitative and qualitative data sets used to construct geographic layers and their attributes,Foundational (F),Determine which error analysis method should be used for quantitative and qualitative data sets that are used to construct geographic layers and their attributes. 
GEOSPATIAL DATA MANAGEMENT,T34. Data Selection and Validation,31. Use R-Squared values to determine the appropriateness of use for imagery (example: targeting vs. general positioning),Foundational (F),"Determine what the most appropriate use of imagery is (e.g., targeting, general positioning) based on the image R-Squared value."
GEOSPATIAL DATA MANAGEMENT,T34. Data Selection and Validation,32. List and describe the categories of error as associated with Intelligence Community Directive (ICD) 203,Foundational (F),Differentiate the categories of error associated with Intelligence Community Directive (ICD) 203 from each other.
GEOSPATIAL DATA MANAGEMENT,T34. Data Selection and Validation,33. Assess the probability of Type I and Type II error,Foundational (F),Determine the probability of Type I and Type II error.
GEOSPATIAL DATA MANAGEMENT,T34. Data Selection and Validation,34. Identify the three main categories of error,Foundational (F),Compare/contrast the main categories of error.
GEOSPATIAL DATA MANAGEMENT,T34. Data Selection and Validation,35. List at least five common sources of error in geospatial data sets,Foundational (F),Characterize the common sources of error found in geospatial datasets.
GEOSPATIAL DATA MANAGEMENT,T34. Data Selection and Validation,36. Calculate relative error and absolute error,Foundational (F),Compare/contrast relative error and absolute error and characterize how each is calculated.
GEOSPATIAL DATA MANAGEMENT,T34. Data Selection and Validation,37. Identify cases where data self-validate a model,Foundational (F),Determine whether data can self-validate a model.
GEOSPATIAL DATA MANAGEMENT,T34. Data Selection and Validation,"38. Identify when it is appropriate to combine data sets of different ages, spatial resolutions, numeric types, and collection methods",Foundational (F),"Determine when it is and is not appropriate to combine data sets of different ages, spatial resolutions, numeric types, and collection methods."
GEOSPATIAL DATA MANAGEMENT,T34. Data Selection and Validation,1. Advanced statistical modeling techniques,MASTERY/UGP (M/U),Integrate advanced statistical modeling techniques into geospatial data selection and validation.
GEOSPATIAL DATA MANAGEMENT,T34. Data Selection and Validation,2. Technical writing skills,MASTERY/UGP (M/U),Generate useable products by utilizing advanced technical writing skills.
GEOSPATIAL DATA MANAGEMENT,T34. Data Selection and Validation,3. Programming skills,MASTERY/UGP (M/U),Implement advanced programming skills to efficiently and effectively select and validate data.
GEOSPATIAL DATA MANAGEMENT,T35. Spatial Data Structures and Models,1. Completion of a high school-level computer fundamentals course,Prerequisites (P),"Execute basic computer tasks including typing, use of commercial software products, navigating file systems, reading and writing computer files, internet navigation, downloading and uploading files."
GEOSPATIAL DATA MANAGEMENT,T35. Spatial Data Structures and Models,"1. Given a file size and transfer rate, calculate transmission time",Foundational (F),Identify transmission time given a file’s size and transfer rate.
GEOSPATIAL DATA MANAGEMENT,T35. Spatial Data Structures and Models,"2. Describe how a binary system is used to store, retrieve, and compute data",Foundational (F),"Summarize how a binary system is used to store, retrieve, and compute data."
GEOSPATIAL DATA MANAGEMENT,T35. Spatial Data Structures and Models,3. Differentiate between attribute and geographic components for a spatial data set,Foundational (F),Identify attribute and geographic components within a spatial data set.
GEOSPATIAL DATA MANAGEMENT,T35. Spatial Data Structures and Models,"4. Describe the information needed to construct point, line, and polygon features",Foundational (F),"Summarize what information is needed to construct point, line, and polygon features."
GEOSPATIAL DATA MANAGEMENT,T35. Spatial Data Structures and Models,"4. Describe the information needed to construct point, line, and polygon features",Foundational (F),"Summarize what information is needed to display three-dimensional (3D) data (e.g., voxels)."
GEOSPATIAL DATA MANAGEMENT,T35. Spatial Data Structures and Models,5. Describe the relationship between spatial data file size and spatial resolution,Foundational (F),Summarize the relationship between spatial data file size and spatial resolution.
GEOSPATIAL DATA MANAGEMENT,T35. Spatial Data Structures and Models,6. List the primary considerations when establishing specifications for a spatial data model,Foundational (F),List the primary considerations taken into account when establishing specifications for a spatial data model.
GEOSPATIAL DATA MANAGEMENT,T35. Spatial Data Structures and Models,7. List the primary considerations when selecting geometry type,Foundational (F),List the primary considerations taken into account when selecting geometry type.
GEOSPATIAL DATA MANAGEMENT,T35. Spatial Data Structures and Models,"1. Describe the following data storage models: flat, hierarchical, network, and relational",Application (A),"Compare/contrast the following data storage models: flat, hierarchical, network, and relational"
GEOSPATIAL DATA MANAGEMENT,T35. Spatial Data Structures and Models,2. Describe the fundamental tables required to create and maintain topology in a relational database,Application (A),Classify the fundamental tables required to create and maintain topology in a relational database.
GEOSPATIAL DATA MANAGEMENT,T35. Spatial Data Structures and Models,3. Define dynamic segmentation and linear referencing and provide general descriptions of how these factors are modeled in spatial data structures,Application (A),Characterize how dynamic segmentation and linear referencing are modeling in spatial data structures.
GEOSPATIAL DATA MANAGEMENT,T35. Spatial Data Structures and Models,4. List appropriate cell shapes for raster data and compare and contrast their corresponding use cases,Application (A),Classify which cell shapes are appropriate for use in raster data.
GEOSPATIAL DATA MANAGEMENT,T35. Spatial Data Structures and Models,4. List appropriate cell shapes for raster data and compare and contrast their corresponding use cases,Application (A),Compare/contrast the use cases for cell shapes used in raster data.
GEOSPATIAL DATA MANAGEMENT,T35. Spatial Data Structures and Models,5. Define tessellation,Application (A),Characterize a tessellation and how it is created.
GEOSPATIAL DATA MANAGEMENT,T35. Spatial Data Structures and Models,6. Describe the structure of a fundamental raster dataset. Include the information required in the header.,Application (A),Characterize the structure and components of a fundamental raster dataset.
GEOSPATIAL DATA MANAGEMENT,T35. Spatial Data Structures and Models,"7. Identify the shapes associated with entities, attributes, and relationships in Entity-Relationship Diagrams (ERD)",Application (A),"Categorize shapes associated with entities, attributes, and their relationships in Entity-Relationship Diagrams (ERD)."
GEOSPATIAL DATA MANAGEMENT,T35. Spatial Data Structures and Models,8. Define cardinality and list the three possible cases,Application (A),Characterize database cardinality and possible cases associated with cardinality.
GEOSPATIAL DATA MANAGEMENT,T35. Spatial Data Structures and Models,9. Differentiate between a spatial join and an attribute join,Application (A),Differentiate between a spatial join and an attribute join.
GEOSPATIAL DATA MANAGEMENT,T35. Spatial Data Structures and Models,10. Differentiate between a relationship class and a related table,Application (A),Differentiate between a relationship class and a related table.
GEOSPATIAL DATA MANAGEMENT,T35. Spatial Data Structures and Models,"11. Given an image resolution and dimensions, calculate its approximate size on disk",Application (A),Determine the approximate disk size given an image resolution and dimensions.
GEOSPATIAL DATA MANAGEMENT,T35. Spatial Data Structures and Models,12. Describe the purpose of a Redundant Array of Independent/Inexpensive Disks (RAID),Application (A),Characterize the purpose of Redundant Array of Independent/Inexpensive Disks (RAID) and differentiate the different levels of RAID.
GEOSPATIAL DATA MANAGEMENT,T35. Spatial Data Structures and Models,13. Describe cloud computing,Application (A),Characterize cloud computing and its use in data structures and models.
GEOSPATIAL DATA MANAGEMENT,T35. Spatial Data Structures and Models,14. Identify appropriate strategies for disaster recovery,Application (A),Determine the most appropriate strategies for disaster recovery.
GEOSPATIAL DATA MANAGEMENT,T35. Spatial Data Structures and Models,15. Describe versioning and identify its potential uses,Application (A),Characterize versioning and differentiate between its potential uses in data structures and models.
GEOSPATIAL DATA MANAGEMENT,T35. Spatial Data Structures and Models,16. Define parity as it applies to storage solutions and data structures,Application (A),Characterize parity and compare/contrast how it is applied to data storage solutions and data structures.
GIS & ANALYSIS TOOLS,"T1. Vector and Vectorization (e.g., digitization)",1. Perform addition and subtraction using a number line,Prerequisites (P),"Summarize how a number line can be used to perform basic math functions (e.g., addition and subtraction)."
GIS & ANALYSIS TOOLS,"T1. Vector and Vectorization (e.g., digitization)","2. Plot an x,y point using a cartesian coordinate system based graph",Prerequisites (P),"Discern where an x,y point should be plotted on a graph using a cartesian coordinate system."
GIS & ANALYSIS TOOLS,"T1. Vector and Vectorization (e.g., digitization)","2. Plot an x,y point using a cartesian coordinate system based graph",Prerequisites (P),"Discern where an x,y point should be plotted on a graph using a polar coordinate system."
GIS & ANALYSIS TOOLS,"T1. Vector and Vectorization (e.g., digitization)",3. Plot a point using a polar coordinate system,Prerequisites (P),"Compare/Contrast various coordinate systems (e.g., cartesian, polar, etc.)."
GIS & ANALYSIS TOOLS,"T1. Vector and Vectorization (e.g., digitization)",4. Connect ordered points on a graph together using a line,Prerequisites (P),Identify how ordered points on a graph should be connected.
GIS & ANALYSIS TOOLS,"T1. Vector and Vectorization (e.g., digitization)",5. Solve for any one side of a triangle using the Pythagorean Theorem,Prerequisites (P),Determine the length of one side of a triangle using the Pythagorean Theorem.
GIS & ANALYSIS TOOLS,"T1. Vector and Vectorization (e.g., digitization)",6. Trace a feature,Prerequisites (P),Define what it means to trace a feature and outline the steps taken to perform a trace.
GIS & ANALYSIS TOOLS,"T1. Vector and Vectorization (e.g., digitization)",7. Connect ordered dots,Prerequisites (P),Determine how ordered dots should be connected.
GIS & ANALYSIS TOOLS,"T1. Vector and Vectorization (e.g., digitization)",1. Calculate angular displacement for polar and cartesian coordinate system,Foundational (F),Define angular displacement and summarize how it is calculated for a polar and cartesian coordinate system.
GIS & ANALYSIS TOOLS,"T1. Vector and Vectorization (e.g., digitization)",2. List and describe the relationship among the general tables used for vector data models,Foundational (F),List the general tables used for vector data models and summarize their uses.
GIS & ANALYSIS TOOLS,"T1. Vector and Vectorization (e.g., digitization)",2. List and describe the relationship among the general tables used for vector data models,Foundational (F),Outline the relationship between the various general tables used for vector data models.
GIS & ANALYSIS TOOLS,"T1. Vector and Vectorization (e.g., digitization)",3. Define the three fundamental geometries,Foundational (F),"Summarize the role points, lines, polygons, and surfaces play in vectorization."
GIS & ANALYSIS TOOLS,"T1. Vector and Vectorization (e.g., digitization)",4. Describe the relationship between image resolution and positional error for digitized features,Foundational (F),Summarize the relationship between image resolution and positional error for digitized features.
GIS & ANALYSIS TOOLS,"T1. Vector and Vectorization (e.g., digitization)",5. Describe the relationship between image resolution and feature shape/identification,Foundational (F),Summarize the relationship between image resolution and feature shape/identification.
GIS & ANALYSIS TOOLS,"T1. Vector and Vectorization (e.g., digitization)",6. Describe the effect of caching of imagery on the digitizing process,Foundational (F),Summarize the effect caching of imagery has on the digitizing process.
GIS & ANALYSIS TOOLS,"T1. Vector and Vectorization (e.g., digitization)",7. Match effective/appropriate scale to imagery resolution when digitizing features,Foundational (F),Identify the most effective and appropriate scale to use when digitizing features given the resolution of an image.
GIS & ANALYSIS TOOLS,"T1. Vector and Vectorization (e.g., digitization)",8. Define supervised imagery classification,Foundational (F),Compare supervised imagery classification and unsupervised imagery classification and summarize how each are used when digitizing images.
GIS & ANALYSIS TOOLS,"T1. Vector and Vectorization (e.g., digitization)",9. Define unsupervised imagery classification,Foundational (F),
GIS & ANALYSIS TOOLS,"T1. Vector and Vectorization (e.g., digitization)",10. List the advantages and disadvantages of converting raster to vector data,Foundational (F),Compare the advantages and disadvantages of converting raster data to vector data.
GIS & ANALYSIS TOOLS,"T1. Vector and Vectorization (e.g., digitization)",10. List the advantages and disadvantages of converting raster to vector data,Foundational (F),Summarize the process taken to convert raster data into vector data.
GIS & ANALYSIS TOOLS,"T1. Vector and Vectorization (e.g., digitization)",11. Define attribute,Foundational (F),Define what an attribute is and summarize the purpose it has in the digitization of an image.
GIS & ANALYSIS TOOLS,"T1. Vector and Vectorization (e.g., digitization)","12. Define attribute data types (text, Boolean, single precision, double precision, date, and time)",Foundational (F),List the different attribute data types and summarize the role they play in the digitization of images.
GIS & ANALYSIS TOOLS,"T1. Vector and Vectorization (e.g., digitization)",13. Explain the relationship between scale and vertex placement,Foundational (F),Define scale and vertex placement and outline the relationship they have with each other.
GIS & ANALYSIS TOOLS,"T1. Vector and Vectorization (e.g., digitization)",1. Perform simple arithmetic involving coordinates,Application (A),Determine the appropriate arithmetic that should be performed on coordinates based on how the coordinates will be used.
GIS & ANALYSIS TOOLS,"T1. Vector and Vectorization (e.g., digitization)",2. Select an appropriate spacing of vertices with respect to source imagery scale,Application (A),Determine the how vertices should be spaced given the scale of a source image.
GIS & ANALYSIS TOOLS,"T1. Vector and Vectorization (e.g., digitization)",3. Select an appropriate scale for digitizing features based upon source imagery resolution,Application (A),Determine what scale should be used to digitize features given the resolution of a source image.
GIS & ANALYSIS TOOLS,"T1. Vector and Vectorization (e.g., digitization)","4. Draw a basic data model for point, polyline, and polygon data",Application (A),"Characterize how basic data models change when they are developed for point, polyline, and polygon data."
GIS & ANALYSIS TOOLS,"T1. Vector and Vectorization (e.g., digitization)","5. Define attribute data types (float, double, text, Boolean, and similar)",Application (A),"Compare/Contrast float, double, test, and Boolean attribute data types."
GIS & ANALYSIS TOOLS,"T1. Vector and Vectorization (e.g., digitization)",6. List and describe at least three means for smoothing digitized features,Application (A),Compare/Contrast the different means for smoothing digitized features.
GIS & ANALYSIS TOOLS,"T1. Vector and Vectorization (e.g., digitization)",7. List and describe at least three methods for simplifying complex features when digitizing,Application (A),Differentiate between the various methods used to simplify complex features when digitizing images.
GIS & ANALYSIS TOOLS,"T1. Vector and Vectorization (e.g., digitization)",8. Digitize route features into a geographic network (m-values),Application (A),"Determine how digitized route features should be converted into a geographic network (i.e., m-values)."
GIS & ANALYSIS TOOLS,"T1. Vector and Vectorization (e.g., digitization)",9. Digitize terrain features with elevation into a topographic data model (z-values),Application (A),"Determine how elevated terrain features should be converted in a topographic data model (i.e., z-values)."
GIS & ANALYSIS TOOLS,"T1. Vector and Vectorization (e.g., digitization)",10. Digitize features with respect to time (spatio-temporal representation),Application (A),"Interpret how features can be digitized with respect to time (i.e., spatio-temporal representation)."
GIS & ANALYSIS TOOLS,"T1. Vector and Vectorization (e.g., digitization)","11. Given a set of bearings and distances, create a polygon or line as appropriate",Application (A),"Determine what polygon or line should be created (e.g., polygon, line) given a set of bearings and distances."
GIS & ANALYSIS TOOLS,"T1. Vector and Vectorization (e.g., digitization)",1. Statistical methods for smoothing features,Mastery/UGP (M/U),Evaluate the advantages and disadvantages of current statistical methods for smoothing features to develop more efficient methods.
GIS & ANALYSIS TOOLS,"T1. Vector and Vectorization (e.g., digitization)",2. Statistical methods for interpolating missing points/vertices,Mastery/UGP (M/U),Establish methods for interpolating missing points and/or vertices in an image.
GIS & ANALYSIS TOOLS,"T1. Vector and Vectorization (e.g., digitization)",3. Design 4D data models which support vectorization,Mastery/UGP (M/U),Establish methods for developing 4D data models that support vectorization.
GIS & ANALYSIS TOOLS,T2. Raster,"1. Define pixel, tone, contrast, digital number, dynamic range, and brightness as they relate to photography",Prerequisites (P),"Define the following terms and outline how they relate to photography: pixel, tone, contrast, digital number, dynamic range, and brightness as they relate to photography"
GIS & ANALYSIS TOOLS,T2. Raster,2. Label the components of a diagram depicting the major components of a digital camera,Prerequisites (P),Identify the major components of a digital camera and summarize their purpose.
GIS & ANALYSIS TOOLS,T2. Raster,3. Define resolution and image scale,Prerequisites (P),Define resolution and image scale and summarize the role they play in collecting raster data.
GIS & ANALYSIS TOOLS,T2. Raster,4. Perform basic arithmetic,Prerequisites (P),"Connect basic math principles (e.g., averaging a list of numbers, creating bar graphs, discrete numbers, continuous numbers) to other fields of work such as science."
GIS & ANALYSIS TOOLS,T2. Raster,5. Create a bar graph,Prerequisites (P),
GIS & ANALYSIS TOOLS,T2. Raster,6. Average a list of numbers,Prerequisites (P),
GIS & ANALYSIS TOOLS,T2. Raster,7. Differentiate between discrete and continuous numeric data,Prerequisites (P),
GIS & ANALYSIS TOOLS,T2. Raster,"8. Describe ""least squares"" and residual",Prerequisites (P),Define “least squares” and residual and summarize what information they provide.
GIS & ANALYSIS TOOLS,T2. Raster,1. List and describe the advantages and disadvantages of converting vector data to raster,Foundational (F),Compare the advantages and disadvantages of converting raster data to vector data.
GIS & ANALYSIS TOOLS,T2. Raster,1. List and describe the advantages and disadvantages of converting vector data to raster,Foundational (F),Summarize the process taken to convert raster data into vector data.
GIS & ANALYSIS TOOLS,T2. Raster,"2. List and describe the following sources for raster data: direct acquisition by a sensor system, scanning, interpolation, conversion from vector data, and map algebra or similar analytic processes",Foundational (F),"Outline the similarities and differences between the following raster data sources: direct acquisition by a sensor system, scanning, interpolation, conversion from vector data, and map algebra or similar analytic processes"
GIS & ANALYSIS TOOLS,T2. Raster,3. Describe quantization,Foundational (F),Define quantization and summarize its role in analyzing raster data.
GIS & ANALYSIS TOOLS,T2. Raster,4. Describe the process of converting an electrical signal to a pixel value,Foundational (F),Outline the process of converting an electrical signal into a pixel value.
GIS & ANALYSIS TOOLS,T2. Raster,5. List three common cell types used in a Tessellation model,Foundational (F),Identify common cell types used in Tessellation models.
GIS & ANALYSIS TOOLS,T2. Raster,6. Describe a Tessellation model,Foundational (F),Summarize what a Tessellation model is and how it is used with raster data.
GIS & ANALYSIS TOOLS,T2. Raster,7. Define image caching,Foundational (F),Define image caching and summarize why it is important when working with raster data.
GIS & ANALYSIS TOOLS,T2. Raster,8. Describe the effects of transforming raster data from one coordinate system to another,Foundational (F),Identify how raster data is affected when it is transformed from one coordinate system into another coordinate system.
GIS & ANALYSIS TOOLS,T2. Raster,9. Compare and contrast 8-bit and 24-bit imagery,Foundational (F),Summarize the similarities and differences between 8-bit imagery and 24-bit imagery.
GIS & ANALYSIS TOOLS,T2. Raster,10. Describe the process of representing color using a 24-bit image,Foundational (F),Identify how color is represented in a 24-bit image.
GIS & ANALYSIS TOOLS,T2. Raster,10. Describe the process of representing color using a 24-bit image,Foundational (F),Summarize the process performed to represent color in a 24-bit image.
GIS & ANALYSIS TOOLS,T2. Raster,11. Describe the process used for transmitting images using electro optical sensor systems,Foundational (F),Outline the process taken to prepare and transmit images using electro-optical sensor systems.
GIS & ANALYSIS TOOLS,T2. Raster,"12. Compare and contrast georeferencing, orthorectification, and georectification of raster data",Foundational (F),"Summarize the similarities and differences between georeferencing, orthorectification, and georectification of raster data."
GIS & ANALYSIS TOOLS,T2. Raster,13. Create a histogram which represents the distribution of values in a raster image,Foundational (F),Outline the process taken to create a histogram that represent the distribution of values in a raster image and summarize why it is important to understand the distribution of values.
GIS & ANALYSIS TOOLS,T2. Raster,14. Explain the use of histograms in digital image processing,Foundational (F),Identify the various uses of histograms in digital image processing and summarize how each type of histogram is used.
GIS & ANALYSIS TOOLS,T2. Raster,1. Describe the process for creating a mosaic from individual raster data tiles,Application (A),Order the steps taken to create a mosaic from individual raster data tiles.
GIS & ANALYSIS TOOLS,T2. Raster,"2. Compare and contrast the following methods for visually representing raster data sets: equal interval, quartile, percentile, Jenks, and histogram normalize",Application (A),"Compare/Contrast the following methods for visually representing raster data sets: equal interval, quartile, percentile, Jenks, and histogram normalize"
GIS & ANALYSIS TOOLS,T2. Raster,2. Calculate area based upon class,Application (A),Determine the total area of value in a raster dataset using the value’s class.
GIS & ANALYSIS TOOLS,T2. Raster,3. Describe the process of re-sampling data,Application (A),Differentiate between the various methods used to resample data and explain when each method is used.
GIS & ANALYSIS TOOLS,T2. Raster,4. Georeference an image using least squares,Application (A),Determine how an image should be georeferenced using least squares.
GIS & ANALYSIS TOOLS,T2. Raster,5. Interpolate data to a raster layer from point data using inverse distance weighted,Application (A),Characterize how inverse distance weighted is used to interpolate data to a raster layer from point data.
GIS & ANALYSIS TOOLS,T2. Raster,6. Convert from raster to vector and vector to raster,Application (A),Compare/Contrast the process of converting raster data to vector data.
GIS & ANALYSIS TOOLS,T2. Raster,6. Convert from raster to vector and vector to raster,Application (A),Compare/Contrast how vector data is converted to raster data.
GIS & ANALYSIS TOOLS,T2. Raster,7. Create metadata for raster data,Application (A),Distinguish how metadata is created for raster data.
GIS & ANALYSIS TOOLS,T2. Raster,8. Describe the data storage model for raster data,Application (A),Differentiate between the various models used to store data and identify which models are appropriate for raster data.
GIS & ANALYSIS TOOLS,T2. Raster,9. Define and list lossy raster data types,Application (A),Compare/Contrast the different types of lossy raster data.
GIS & ANALYSIS TOOLS,T2. Raster,10. Select data based upon digital number,Application (A),Classify how data is selected based upon digital numbers.
GIS & ANALYSIS TOOLS,T2. Raster,11. Describe when it is appropriate to re-scale raster data,Application (A),Determine when it is and is not appropriate to re-scale raster data.
GIS & ANALYSIS TOOLS,T2. Raster,"12. Calculate ground sample distance when provided sensor size, sensing element size, focal length, and height",Application (A),"Determine ground sample distance when provided sensor size, sensing element size, focal length, and height."
GIS & ANALYSIS TOOLS,T2. Raster,"13. Distinguish among x-ray, gamma ray, ultraviolet, visible, infra-red, far infra-red, microwave wavelengths using wavelength",Application (A),"Compare/Contrast the following wavelengths: x-ray, gamma ray, ultraviolet, visible, infra-red, far infra-red, microwave wavelengths using wavelength"
GIS & ANALYSIS TOOLS,T2. Raster,14. Define Normalized Difference Vegetation Index (NDVI) and the wavelengths used for its calculation,Application (A),Interpret a Normalized Difference Vegetation Index (NDVI) and distinguish which wavelengths are used to calculate the NDVI.
GIS & ANALYSIS TOOLS,T2. Raster,"15. Define ""lossy"" methods, pyramids, and caching",Application (A),"Compare/Contrast the various “lossy” methods, “lossy” pyramids, and caching of “lossy” data."
GIS & ANALYSIS TOOLS,T2. Raster,16. Identify common lossy raster data formats,Application (A),Characterize common lossy raster data formats.
GIS & ANALYSIS TOOLS,"T3. Fundamentals of Geodesic Science, Geographically Referencing Spatial Information, and Positioning",1. Solve for one variable in the Pythagorean Theorem,Prerequisites (P),Solve for one variable in the Pythagorean Theorem.
GIS & ANALYSIS TOOLS,"T3. Fundamentals of Geodesic Science, Geographically Referencing Spatial Information, and Positioning",2. Solve univariate equations,Prerequisites (P),Solve univariate equations.
GIS & ANALYSIS TOOLS,"T3. Fundamentals of Geodesic Science, Geographically Referencing Spatial Information, and Positioning",3. Solve univariate polynomial,Prerequisites (P),Solve univariate polynomial.
GIS & ANALYSIS TOOLS,"T3. Fundamentals of Geodesic Science, Geographically Referencing Spatial Information, and Positioning",4. Convert fractions to decimals and vice-versa,Prerequisites (P),Convert fractions to decimals and vice-versa.
GIS & ANALYSIS TOOLS,"T3. Fundamentals of Geodesic Science, Geographically Referencing Spatial Information, and Positioning",5. Plot an x/y point on a map,Prerequisites (P),Plot an x/y point on a map.
GIS & ANALYSIS TOOLS,"T3. Fundamentals of Geodesic Science, Geographically Referencing Spatial Information, and Positioning",6. Plot a polar coordinate,Prerequisites (P),Plot a polar coordinate.
GIS & ANALYSIS TOOLS,"T3. Fundamentals of Geodesic Science, Geographically Referencing Spatial Information, and Positioning",7. Describe the purpose of map projections and coordinate systems,Prerequisites (P),Describe the purpose of map projections and coordinate systems.
GIS & ANALYSIS TOOLS,"T3. Fundamentals of Geodesic Science, Geographically Referencing Spatial Information, and Positioning",8. Provide a generalized description of Global Positioning System (GPS),Prerequisites (P),Provide a generalized description of Global Positioning System (GPS).
GIS & ANALYSIS TOOLS,"T3. Fundamentals of Geodesic Science, Geographically Referencing Spatial Information, and Positioning",1. Transform point coordinate systems among planar and spherical coordinate systems,Foundational (F),Summarize how to transform a point coordinate system among planar and spherical coordinate systems.
GIS & ANALYSIS TOOLS,"T3. Fundamentals of Geodesic Science, Geographically Referencing Spatial Information, and Positioning",2. Distinguish between polar and cartesian style coordinate systems,Foundational (F),"Compare/Contrast various coordinate systems (e.g., cartesian, polar, etc.)."
GIS & ANALYSIS TOOLS,"T3. Fundamentals of Geodesic Science, Geographically Referencing Spatial Information, and Positioning",3. List the major components used to describe the ellipsoid,Foundational (F),Identify the major components used to describe an ellipsoid.
GIS & ANALYSIS TOOLS,"T3. Fundamentals of Geodesic Science, Geographically Referencing Spatial Information, and Positioning",4. Compare and contrast geoid with ellipsoid,Foundational (F),Categorize components that determine whether an object is a geoid or an ellipsoid.
GIS & ANALYSIS TOOLS,"T3. Fundamentals of Geodesic Science, Geographically Referencing Spatial Information, and Positioning",5. Compare and contrast orthometric vs ellipsoid heights,Foundational (F),Summarize the similarities and differences between orthometric and ellipsoid heights.
